time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-19T20:30:10.440Z,42.5714,-111.4328,6.99,3.7,mwr,,41,0.019,0.32,us,us1000aubf,2018-01-11T02:22:08.040Z,"16km ESE of Soda Springs, Idaho",earthquake,1.1,0.6,,12,reviewed,us,slm
2017-10-17T18:12:43.770Z,42.5548,-111.4232,7.18,2.7,ml,,43,0.037,0.34,us,us1000atez,2018-01-11T02:22:05.040Z,"18km SE of Soda Springs, Idaho",earthquake,1.1,0.8,0.034,116,reviewed,us,us
2017-10-16T23:01:21.070Z,42.5457,-111.4217,9.04,2.9,ml,,57,0.045,0.74,us,us1000ataz,2018-01-11T02:22:04.040Z,"19km SE of Soda Springs, Idaho",earthquake,1.3,3.3,0.049,54,reviewed,us,us
2017-10-16T23:01:05.110Z,42.5533,-111.4253,9.78,2.9,ml,,43,0.037,0.45,us,us1000at4t,2018-01-11T02:22:04.040Z,"18km SE of Soda Springs, Idaho",earthquake,0.9,2.7,0.037,94,reviewed,us,us
2017-10-16T04:54:10.040Z,42.557,-111.4121,7.16,2.7,ml,,43,0.04,0.27,us,us1000asmv,2018-01-11T02:22:02.040Z,"19km SE of Soda Springs, Idaho",earthquake,0.9,1.5,0.043,70,reviewed,us,us
2017-10-16T03:22:49.080Z,42.5601,-111.4189,8.19,2.6,ml,,43,0.035,0.3,us,us1000asmq,2018-01-11T02:22:02.040Z,"18km SE of Soda Springs, Idaho",earthquake,1,3.5,0.042,76,reviewed,us,us
2017-10-16T03:16:20.180Z,42.5643,-111.4213,8.9,2.7,ml,,42,0.03,0.38,us,us1000asmn,2018-01-11T02:22:02.040Z,"18km ESE of Soda Springs, Idaho",earthquake,0.9,4.9,0.046,62,reviewed,us,us
2017-10-16T01:41:29.560Z,42.5624,-111.4079,9.21,2.8,ml,,43,0.039,0.26,us,us1000asma,2018-01-11T02:22:02.040Z,"19km ESE of Soda Springs, Idaho",earthquake,1,3.2,0.043,72,reviewed,us,us
2017-10-16T01:35:34.300Z,42.5533,-111.4166,9.08,3.6,mwr,,43,0.041,0.37,us,us1000asm5,2018-01-11T02:22:02.040Z,"19km SE of Soda Springs, Idaho",earthquake,0.7,3.5,0.042,55,reviewed,us,us
2017-10-15T13:26:37.490Z,42.558,-111.4198,7.42,2.5,ml,,47,0.089,0.26,us,us1000ashx,2018-01-11T02:22:02.040Z,"18km SE of Soda Springs, Idaho",earthquake,1.2,1.9,0.051,50,reviewed,uu,us
2017-10-12T05:32:07.660Z,42.5596,-111.4227,8.22,3.1,ml,,42,0.033,0.26,us,us1000aqlh,2018-01-09T02:14:56.040Z,"18km SE of Soda Springs, Idaho",earthquake,0.7,2.9,0.056,42,reviewed,us,us
2017-10-11T16:55:19.000Z,42.5587,-111.4216,5.84,2.5,ml,,43,0.088,0.34,us,us1000aq8x,2018-01-09T02:14:56.040Z,"18km SE of Soda Springs, Idaho",earthquake,0.6,2,0.045,66,reviewed,us,us
